factor,lbm
a_inw,-0.29223995600408825
a_man,-0.29440949099577723
a_vrouw,-0.2895371471137654
a_geb,-0.31101503506754963
p_geb,-0.04237734197558637
a_ste,-0.19973671632477072
p_ste,0.02548074472520786
a_hh,-0.29528414363763456
bev_dich,-0.31991858106883714
a_woning,-0.29493868979713295
p_1gezw,0.2672963435739932
p_mgezw,-0.2672918695414419
p_bewndw,-0.1947433537880656
p_leegsw,0.19489972014407234
p_koopw,0.4947915354632577
p_huurw,-0.5061362067408289
p_wcorpw,-0.6110387001146884
p_ov_hw,0.13342224857830978
p_e_o_w,0.07394224413044638
p_bjj2k,-0.02328751166573078
p_bjo2k,0.023346139698732865
g_ele,0.42919446768699565
g_ele_ap,0.2630647956694405
g_ele_tw,0.15302698134346354
g_ele_hw,0.17983588754078886
g_ele_2w,0.23355494464737284
g_ele_vw,0.19301947788307036
g_ele_hu,0.309497513385146
g_ele_ko,0.382615480253259
g_gas,0.47909674772809263
g_gas_ap,0.2680186403706285
g_gas_tw,0.2818778888208472
g_gas_hw,0.24071478016098347
g_gas_2w,0.27617065941878205
g_gas_vw,0.24205785978381564
g_gas_hu,0.3884507436053041
g_gas_ko,0.46294985995403376
p_stadsv,-0.14352800044947867
a_inkont,-0.290249913671286
g_ink_po,0.6912556215275382
g_ink_pi,0.7435901319635183
p_ink_li,-0.4668718415796818
p_ink_hi,0.623088971476999
p_hh_li,-0.5020051977855466
p_hh_hi,0.5967450350005236
p_hh_lkk,-0.45746107143652853
p_hh_osm,-0.5106280370957366
a_soz_wb,-0.415123826780258
a_soz_ao,-0.41442178653742423
a_soz_ww,-0.3375354258028845
a_soz_ow,-0.2147631317544972
a_bedv,-0.07556638510843723
a_bed_a,0.09409007588748809
a_bed_bf,-0.22615746208697557
a_bed_gi,-0.08299320852697165
a_bed_hj,-0.09770846558928402
a_bed_kl,0.1811502084584111
a_bed_mn,0.06727922799546113
a_bed_ru,-0.044617334299697435
a_pau,-0.19717888435413206
a_bst_b,-0.238601271609298
a_bst_nb,-0.06379821527047007
g_pau_km,-0.3517204566551834
a_m2w,-0.20722030738185043
g_afs_hp,0.2951996539301992
g_afs_gs,0.1885635101858752
g_afs_kv,0.13207699422569605
g_afs_sc,0.23022225649734357
g_3km_sc,-0.28464001626112906
a_opp_ha,0.17222718098262133
a_lan_ha,0.17190978350489153
a_wat_ha,0.06031432893041208
pst_mvp,0.1050518944250425
pst_dekp,0.06195580249230481
ste_mvs,0.33329946337448585
ste_oad,-0.16039578504751822
