,ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster
970,BU01140600,4.04252265,4.052917315,4.056065918,4.065462738,4.099903185,4.106754487,4.118543587,4.133558864,4
971,BU01140601,3.793234268,3.879717672,3.918209441,3.99037107,4.02399111,3.982637534,4.024300868,4.039979366,4
972,BU01140608,4.162597655,4.293577987,4.286620019,4.259885925,4.230597353,4.244949116,4.251041306,4.260240194,2
973,BU01140609,4.264601327,4.222134525,4.253766586,4.294531822,4.340688266,4.296518559,4.265803122,4.211883167,2
974,BU01140700,4.08981602,4.076060745,4.085166303,4.093678229,4.125807592,4.116156631,4.138493338,4.127136204,1
975,BU01140701,4.218482622,4.242545838,4.259280323,4.282945214,4.307542497,4.29200323,4.260019536,4.237459492,2
976,BU01140702,4.263254432,4.235915914,4.24570506,4.232089841,4.183413938,4.208644769,4.15638555,4.092815927,1
977,BU01140707,3.97582594,4.102582245,4.096340487,4.092758507,4.156885721,4.233359774,4.28844899,4.229552728,1
978,BU01140708,4.191789141,4.08856069,4.13334533,4.256445895,4.26787229,4.209363381,4.220152679,4.251528261,2
979,BU01140709,4.086423616,4.124220982,4.145459646,4.224209799,4.239456692,4.260179812,4.216221665,4.244880715,1
980,BU01140800,3.968206825,4.03967044,4.045496631,4.088535026,4.124389397,4.10071724,4.111478875,4.113150569,4
981,BU01140801,3.946929677,3.977427558,4.011738064,4.053766749,4.075850987,4.096166301,4.113664774,4.097301521,4
982,BU01140802,4.159992805,4.134774948,4.182765181,4.16073834,4.218216111,4.200310611,4.199863786,4.174989953,1
983,BU01140803,4.088190973,4.188347854,4.178217331,4.23930337,4.249947374,4.266342594,4.226837236,4.232069933,2
984,BU01140804,4.040668232,4.015258082,4.08735074,4.175067204,4.235033326,4.208002688,4.183819548,4.18279815,1
985,BU01140806,4.155067716,4.23894076,4.306786868,4.309954184,4.329134786,4.304809377,4.282426238,4.257421904,2
986,BU01140807,3.995216177,4.122025521,4.033872478,3.952261816,4.080297145,4.004472933,3.996163006,4.098164191,4
987,BU01140809,4.093988178,4.083979966,4.044168395,4.133473919,4.193552827,4.162323016,4.173581101,4.143413568,1
988,BU01140900,3.961081402,3.983153962,3.989114306,3.97895632,4.003040659,4.017389366,4.070220933,4.079072418,4
989,BU01140901,4.150812604,4.203911901,4.252273088,4.230035474,4.192667502,4.232739562,4.234350875,4.260570409,2
990,BU01140909,3.993488166,4.142047357,4.196832296,4.147695573,4.184537089,4.207731825,4.283417013,4.243706179,1
991,BU01141000,4.051251184,4.079061214,4.090625873,4.109001207,4.064986513,4.102424307,4.106784647,4.116847784,4
992,BU01141001,4.237342409,4.226011907,4.187239642,4.260490344,4.198552173,4.198313541,4.240494679,4.242225192,2
993,BU01141002,4.295704366,4.285326498,4.254269392,4.257868435,4.213445997,4.247634886,4.279487122,4.298304148,2
994,BU01141003,4.010039292,3.993903776,4.013549291,4.080309398,4.031125566,4.056714521,4.045306573,4.068074678,4
995,BU01141004,3.921723184,4.091865558,4.036007005,4.08687683,4.020416865,4.045415665,4.097370819,4.109237404,4
996,BU01141009,4.107687293,4.146278269,4.170240345,4.213192966,4.22688233,4.169749561,4.201201018,4.193388247,1
997,BU01141300,4.001420389,4.008098727,4.005766839,3.980276039,4.012335784,3.993074558,4.003412684,3.996753059,4
998,BU01141308,4.319596743,4.173429645,4.409224509,4.347037365,4.323352144,4.291429561,4.288213551,4.169378537,2
999,BU01141309,4.114139337,4.242876343,4.212352059,4.196812471,4.334797816,4.208933526,4.175083592,4.172325694,2
1000,BU01142100,4.12672846,4.138461744,4.106229674,4.126916727,4.090935237,4.099579869,4.092127806,4.052894269,1
1001,BU01142101,4.204831676,4.112831879,4.1756656,4.219105261,4.208549838,4.198771247,4.199904302,4.190790519,1
1002,BU01142102,4.021293509,4.084922485,4.092451531,4.13199124,4.056539731,4.114033784,4.121648499,4.122817639,1
1003,BU01142109,4.188300913,4.066589922,4.177016808,4.171476547,4.145542163,4.152989323,4.175200585,4.125217055,1
1004,BU01143200,4.073528052,4.065662937,4.111204431,4.113491673,4.055666984,4.033135639,4.010713437,4.106577641,4
1005,BU01143201,4.217015771,4.25712112,4.256751733,4.216582101,4.218777551,4.254064687,4.248547725,4.28353789,2
1006,BU01143209,4.101690143,4.34319947,4.249202631,4.241710061,4.178074061,4.14334439,4.139311667,4.162385304,1
1007,BU01144000,4.173591582,4.156602757,4.129108887,4.143372655,4.12167452,4.129254662,4.136876974,4.137571709,1
1008,BU01144100,4.22419939,4.185822102,4.194285164,4.275361369,4.252479933,4.223558483,4.239552494,4.271035201,2
1009,BU01144101,4.169562672,4.153910403,4.160896661,4.19797084,4.165460548,4.177365132,4.178378766,4.171330752,1
1010,BU01144200,3.93559706,3.954960816,3.953137252,3.934802241,3.951729298,3.958767004,3.959552157,3.93748273,3
1011,BU01144300,3.920643931,3.842388125,3.866238743,3.866471713,3.867484768,3.900821752,3.897039061,3.927625927,3
1012,BU01144400,3.897770335,3.875155566,3.876706389,3.919444646,3.892562375,3.946545027,3.950785266,3.973492783,3
