ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster,2002-2008,2008-2012,2012-2014,2014-2016,2016-2018,2018-2020,2020-2022
WK001414,3.780563067,3.726753208,3.844176464,4.21322772,4.098093549,4.323933048,4.286859382,4.278544189,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK001415,4.047304993,4.036233239,4.059876731,4.158690512,4.194991215,4.190808705,4.137657683,4.137206068,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK001416,3.979574989,3.987796119,4.035322708,4.134214947,4.150119314,4.153518023,4.100611217,4.074121167,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK001417,4.253637539,4.250614175,4.266855195,4.315293389,4.33046843,4.324196446,4.323473643,4.327238451,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK001418,4.081705264,4.104184803,4.128510099,4.174779547,4.200436023,4.178168051,4.193600467,4.219585308,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK001419,4.226225906,4.214915069,4.248454676,4.291617446,4.318622875,4.303343633,4.270766129,4.288942526,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK003401,3.909014683,3.998049035,3.995751072,4.007195746,4.000401758,3.998075343,4.013165869,3.984228423,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK003402,3.877128719,3.870304809,3.885267847,3.918220481,3.91371465,3.933047649,3.941314676,3.94657427,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK003403,3.820332541,3.830371382,3.867680997,3.892603467,3.891801941,3.890115042,3.915981321,3.905815496,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK003404,3.966374373,3.962715778,3.972789175,4.036954956,4.034763452,4.06240359,4.085652337,4.072792789,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK003405,3.974533966,3.941426127,3.994598807,4.044765377,4.002560501,4.075031541,4.078396652,4.075634247,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK003406,3.98502245,3.962157636,3.977008721,3.998053089,4.041769586,4.065009179,4.038337912,4.045636943,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK003407,4.026690331,4.023106368,4.038714816,4.080782427,4.099902027,4.139214456,4.113903417,4.152200964,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK003408,3.909518005,3.896959803,3.888689971,3.899532002,3.948878606,3.944080095,3.955989546,3.924814074,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK003409,4.156777891,4.20656003,4.201533474,4.211932045,4.250120722,4.219307287,4.242739052,4.247853691,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK003410,3.913725117,4.184649154,4.334075176,4.354157016,4.363556484,4.37057346,4.302545156,4.353074089,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK003414,3.918077076,3.954735291,4.039247869,4.005026404,4.138125566,4.150514464,4.096239935,4.075101803,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK003416,4.258019842,4.270365579,4.333003809,4.403618911,4.346243863,4.455829956,4.446849694,4.492846199,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK003417,3.936517396,3.830101293,3.90324115,3.885619794,3.938919426,3.982370655,3.986468439,3.939985334,0,-1.0782518625587045,2.5242364239689303,2.2281865257665565,2.1418067478664775,2.090628076893497,2.1271706372910013,1.730459072443132
WK003418,4.07077907,4.016288022,3.997134913,4.003616259,4.03315378,4.039985631,4.056752038,4.08271335,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK003419,3.977359909,3.896572235,3.889869905,3.852603788,3.905371348,3.921664918,3.932839524,3.972192278,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK003420,4.077676023,3.98375584,3.95879815,3.962061447,4.006843564,4.051429028,4.059980322,4.082552243,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
